date,close,volume,yield,adjclose
2017/04/21,14,0.749309,5.358,24.6492
2017/04/20,14,0.626684,5.358,24.6492
2017/04/19,14,1.15363,5.358,24.6492
2017/04/18,14.05,0.140328,5.33893,24.6992
2017/04/17,14,0.233103,5.358,24.6492
2017/04/14,13.95,0.606766,5.3772,24.5992
2017/04/13,14.05,0.362504,5.33893,24.6992
2017/04/12,14.05,0.376758,5.33893,24.6992
2017/04/11,14.1,0.502574,5.32,24.7492
2017/04/10,14.05,0.223026,5.33893,24.6992
2017/04/07,14.1,1.4553,4.96496,24.7492
2017/04/06,14.05,0.900043,4.98263,24.6992
2017/04/05,14.05,0.226462,4.98263,24.6992
2017/03/31,14.1,0.682103,4.96496,24.7492
2017/03/30,14.1,0.528085,4.96496,24.7492
2017/03/29,14.05,0.394404,4.98263,24.6992
2017/03/28,14.15,0.63506,4.94742,24.7992
2017/03/27,14.1,0.660834,4.96496,24.7492
2017/03/24,14.1,1.1968,4.96496,24.7492
2017/03/23,14,0.301178,5.00043,24.6492
2017/03/22,14.05,1.30181,4.98263,24.6992
2017/03/21,14.05,0.943739,4.98263,24.6992
2017/03/20,14.1,0.562698,4.96496,24.7492
2017/03/17,14.05,6.19959,4.98263,24.6992
2017/03/16,14.05,0.755102,4.98263,24.6992
2017/03/15,14.05,0.404148,4.98263,24.6992
2017/03/14,14.2,0.639884,4.93,24.8492
2017/03/13,14.05,0.314735,4.98263,24.6992
2017/03/10,14,0.705172,5.00043,24.6492
2017/03/09,14,0.156752,5.00175,24.6492
2017/03/08,14.05,0.228064,4.98395,24.6992
2017/03/07,14.05,0.287088,4.98395,24.6992
2017/03/06,14.1,3.79624,4.96628,24.7492
2017/03/03,14.1,0.325174,4.96628,24.7492
2017/03/02,14.25,1.87016,4.914,24.8992
2017/03/01,14.05,0.698488,4.98395,24.6992
2017/02/24,14.2,2.21541,4.9313,24.8492
2017/02/23,14,1.87385,5.00175,24.6492
2017/02/22,14.05,0.637659,4.98395,24.6992
2017/02/21,14.05,0.311013,4.98395,24.6992
2017/02/20,14.05,0.32835,4.98395,24.6992
2017/02/18,14.05,0.526049,4.98395,24.6992
2017/02/17,14,0.439264,5.00175,24.6492
2017/02/16,14,0.478739,5.00175,24.6492
2017/02/15,14.15,1.49103,4.94873,24.7992
2017/02/14,14,0.55655,5.00175,24.6492
2017/02/13,14,1.30093,5.00175,24.6492
2017/02/10,13.95,0.424844,5.01968,24.5992
2017/02/09,14,0.375031,5.00382,24.6492
2017/02/08,13.85,1.04577,5.05801,24.4992
2017/02/07,14.1,1.81146,4.96833,24.7492
2017/02/06,14.2,2.05193,4.93335,24.8492
2017/02/03,14,2.14608,5.00382,24.6492
2017/02/02,13.7,0.899726,5.11339,24.3492
2017/01/24,13.65,0.446594,5.13212,24.2992
2017/01/23,13.55,0.263539,5.17,24.1992
2017/01/20,13.55,0.228511,5.17,24.1992
2017/01/19,13.5,0.303058,5.18915,24.1492
2017/01/18,13.55,0.999563,5.17,24.1992
2017/01/17,13.45,0.166931,5.20844,24.0992
2017/01/16,13.45,0.302367,5.20844,24.0992
2017/01/13,13.45,0.195327,5.20844,24.0992
2017/01/12,13.45,0.119238,5.20844,24.0992
2017/01/11,13.45,0.231099,5.20844,24.0992
2017/01/10,13.45,0.03546,5.20844,24.0992
2017/01/09,13.45,0.296134,5.20929,24.0992
2017/01/06,13.55,0.436814,5.17085,24.1992
2017/01/05,13.5,0.4043,5.19,24.1492
2017/01/04,13.4,0.513061,5.22873,24.0492
2017/01/03,13.4,0.287252,5.22873,24.0492
2016/12/30,13.55,0.730875,5.17085,24.1992
2016/12/29,13.35,0.023098,5.24831,23.9992
2016/12/28,13.35,1.08516,5.24831,23.9992
2016/12/27,13.3,0.991776,5.26805,23.9492
2016/12/26,13.35,1.07139,5.24831,23.9992
2016/12/23,13.4,0.422329,5.22873,24.0492
2016/12/22,13.35,1.4254,5.24831,23.9992
2016/12/21,13.45,0.632085,5.20929,24.0992
2016/12/20,13.4,0.094258,5.22873,24.0492
2016/12/19,13.4,0.473887,5.22873,24.0492
2016/12/16,13.5,0.451485,5.19,24.1492
2016/12/15,13.45,0.020188,5.20929,24.0992
2016/12/14,13.45,0.135462,5.20929,24.0992
2016/12/13,13.5,0.512836,5.19,24.1492
2016/12/12,13.45,0.211459,5.20929,24.0992
2016/12/09,13.45,0.2553,5.20498,24.0992
2016/12/08,13.5,0.086322,5.1857,24.1492
2016/12/07,13.45,0.477072,5.20498,24.0992
2016/12/06,13.45,12.4811,5.20498,24.0992
2016/12/05,13.4,1.08224,5.2244,24.0492
2016/12/02,13.4,0.236893,5.2244,24.0492
2016/12/01,13.5,0.126091,5.1857,24.1492
2016/11/30,13.5,0.115041,5.1857,24.1492
2016/11/29,13.45,0.234435,5.20498,24.0992
2016/11/28,13.45,0.14936,5.20498,24.0992
2016/11/25,13.4,0.809374,5.2244,24.0492
2016/11/24,13.4,0.144917,5.2244,24.0492
2016/11/23,13.5,0.272896,5.1857,24.1492
2016/11/22,13.5,0.507469,5.1857,24.1492
2016/11/21,13.5,0.136159,5.1857,24.1492
2016/11/18,13.5,0.220293,5.1857,24.1492
2016/11/17,13.35,0.314123,5.24397,23.9992
2016/11/16,13.5,0.367154,5.1857,24.1492
2016/11/15,13.35,0.416336,5.24397,23.9992
2016/11/14,13.35,0.767863,5.24397,23.9992
2016/11/11,13.4,1.14641,5.2244,24.0492
2016/11/10,13.4,1.42132,5.2244,24.0492
2016/11/09,13.3,1.31295,5.2606,23.9492
2016/11/08,13.4,1.24294,5.22134,24.0492
2016/11/07,13.45,0.76671,5.20193,24.0992
2016/11/04,13.7,0.518826,5.10701,24.3492
2016/11/03,13.55,0.099056,5.16354,24.1992
2016/11/02,NULL,0.01434,6.99661e-05,NULL
2016/11/01,13.6,0.886574,5.14456,24.2492
2016/10/31,13.7,0.293897,5.10701,24.3492
2016/10/28,13.85,1.31267,5.0517,24.4992
2016/10/27,13.85,0.0399,5.0517,24.4992
2016/10/26,13.95,2.25479,5.01548,24.5992
