date,close,volume,yield
2016/08/26,254.5,82.4551,2.82916
2016/08/25,252.5,139.109,2.85156
2016/08/24,253.5,200.451,2.84032
2016/08/23,250,628.024,2.88008
2016/08/22,255,183.514,2.82361
2016/08/19,255,289.686,2.82361
2016/08/18,257,333.533,2.80163
2016/08/17,258.5,298.999,2.78538
2016/08/16,256,306.417,2.81258
2016/08/15,256,322.929,2.81258
2016/08/12,256.5,278.066,2.8071
2016/08/11,256.5,408.527,2.8071
2016/08/10,257,535.894,2.80163
2016/08/09,251,322.762,2.87
2016/08/08,250,327.472,2.88148
2016/08/05,253,415.142,2.84731
2016/08/04,248,293.379,2.90472
2016/08/03,250.5,432.103,2.87573
2016/08/02,259.5,496.015,2.77599
2016/08/01,261,279.849,2.76004
2016/07/29,259,279.675,2.78135
2016/07/28,261,277.656,2.76004
2016/07/27,259.5,203.21,2.77599
2016/07/26,259.5,646.728,2.77599
2016/07/25,249,221.792,2.89305
2016/07/22,249,284.576,2.89305
2016/07/21,248,626.573,2.90472
2016/07/20,250,944.428,2.88148
2016/07/19,265.5,582.048,2.71326
2016/07/18,265.5,379.275,2.71326
2016/07/15,257.5,257.605,2.79755
2016/07/14,257,185.242,2.803
2016/07/13,257,220.003,2.803
2016/07/12,257,310.352,2.803
2016/07/11,255,315.305,2.82498
2016/07/07,251.5,88.7312,2.86372
2016/07/06,251,297.625,2.86942
2016/07/05,251,208.835,2.86942
2016/07/04,256.5,209.397,2.80789
2016/07/01,255,292.886,2.82441
2016/06/30,251,232.184,2.86942
2016/06/29,250,199.839,2.8809
2016/06/28,250,206.286,2.8809
2016/06/27,245,108.854,2.93969
2016/06/24,246,476.541,2.92774
2016/06/23,252,295.028,2.85804
2016/06/22,252.5,679.163,2.85238
2016/06/21,243,333.512,2.96389
2016/06/20,241.5,194.172,2.9823
2016/06/17,245,430.562,2.93969
2016/06/16,240,375.615,3.00094
2016/06/15,240.5,272.388,2.9947
2016/06/14,242,333.297,2.97614
2016/06/13,239.5,633.301,3.0072
2016/06/08,246,416.191,2.92591
2016/06/07,245,305.648,2.93786
2016/06/06,248,129.422,2.90232
2016/06/04,249.5,30.8484,2.88487
2016/06/03,248.5,166.03,2.89648
2016/06/02,248.5,184.98,2.89648
2016/06/01,251.5,247.735,2.86193
2016/05/31,247.5,529.582,2.90818
2016/05/30,246.5,289.458,2.91998
2016/05/27,240.5,326.543,2.99283
2016/05/26,239.5,131.583,3.00532
2016/05/25,243,147.706,2.96204
2016/05/24,241,186.94,2.98662
2016/05/23,241,254.343,2.98662
2016/05/20,238,221.206,3.02426
2016/05/19,241,350.826,2.98662
2016/05/18,240,249.488,2.99906
2016/05/17,241,331.822,2.98662
2016/05/16,240.5,472.157,2.99283
2016/05/13,235.5,375.714,3.05637
2016/05/12,234,337.348,3.07596
2016/05/11,226,188.167,3.18485
2016/05/10,224,150.131,3.21328
2016/05/09,224.5,194.592,3.20675
2016/05/06,226,205.394,3.18546
2016/05/05,226,177.904,3.18546
2016/05/04,223.5,239.3,3.2211
2016/05/03,224,254.207,3.21391
2016/04/29,228.5,319.363,3.15061
2016/04/28,227,240.622,3.17143
2016/04/27,232.5,164.383,3.09641
2016/04/26,232.5,172.966,3.09641
2016/04/25,234.5,103.174,3.07
2016/04/22,232.5,215.495,3.09641
2016/04/21,237,254.316,3.03762
2016/04/20,232.5,356.75,3.09641
2016/04/19,239,468.226,3.0122
2016/04/18,237,181.266,3.03762
2016/04/15,235,183.191,3.06347
2016/04/14,229,197.147,3.14373
2016/04/13,231.5,167.694,3.10978
2016/04/12,228,157.643,3.15752
2016/04/11,225,316.426,3.19962
2016/04/08,228,261.986,3.06601
2016/04/07,227.5,397.842,3.07275
2016/04/06,231.5,629.949,3.01965
2016/04/01,236,692.351,2.96208
2016/03/31,234.5,671.621,2.98102
2016/03/30,235.5,1006.56,2.96837
2016/03/29,225.5,317.724,3.1
2016/03/28,222,178.312,3.14887
2016/03/25,224,136.282,3.12076
2016/03/24,227.5,364.836,3.07275
2016/03/23,223,225.088,3.13475
2016/03/22,220.5,265.478,3.17029
2016/03/21,224,220.418,3.12076
2016/03/18,223.5,518.594,3.12774
2016/03/17,227.5,476.163,3.07275
2016/03/16,229,237.034,3.05262
2016/03/15,225.5,290.294,3.1
2016/03/14,227,129.652,3.07952
2016/03/11,228,368.226,3.06601
2016/03/10,225,211.594,3.10689
2016/03/09,221.5,513.975,3.15847
2016/03/08,226.5,492.037,3.08874
2016/03/07,228.5,143.586,3.06171
2016/03/04,230.5,390.715,3.03514
2016/03/03,228.5,284.899,3.06171
2016/03/02,228.5,459.934,3.06171
2016/03/01,222.5,358.348,3.14427
2016/02/26,225.5,280.768,3.10244
2016/02/25,226.5,208.857,3.08874
2016/02/24,226,128.67,3.09558
2016/02/23,224,201.111,3.12321
2016/02/22,223.5,247.388,3.1302
2016/02/19,227,209.525,3.08194
2016/02/18,227,455.171,3.08194
2016/02/17,220.5,199.408,3.17279
2016/02/16,224,329.198,3.12321
2016/02/15,221.5,449.741,3.15847
2016/02/03,220,239.003,3.18525
2016/02/02,221.5,590.373,3.16368
2016/02/01,221,355.697,3.17084
2016/01/30,220,164.489,3.18525
2016/01/29,219.5,350.975,3.19251
2016/01/28,220,675.773,3.18525
2016/01/27,216,594.328,3.24424
2016/01/26,209.5,343.188,3.34489
2016/01/25,211,196.917,3.32111
2016/01/22,210,186.641,3.33693
2016/01/21,207,325.457,3.38529
2016/01/20,211,348.767,3.32111
2016/01/19,210,216.876,3.33693
2016/01/18,206,270.967,3.40172
2016/01/15,200,261.41,3.50378
2016/01/14,196.5,174.202,3.56618
2016/01/13,200,153.393,3.50378
2016/01/12,194.5,186.731,3.60285
2016/01/11,193,397.169,3.63085
2016/01/08,197,273.806,3.55406
2016/01/07,196,280.042,3.57219
2016/01/06,203.5,223.562,3.44054
2016/01/05,199.5,249.82,3.50952
2016/01/04,200,211.036,3.50075
2015/12/31,205.5,68.9388,3.40706
2015/12/30,204.5,76.1988,3.42372
2015/12/29,204.5,58.6149,3.42372
2015/12/28,204.5,87.7081,3.42372
2015/12/25,202.5,44.7411,3.45753
2015/12/24,202,97.3306,3.46609
2015/12/23,202.5,99.4821,3.45753
2015/12/22,202,148.509,3.46609
2015/12/21,201.5,147.602,3.47469
2015/12/18,203,155.135,3.44901
2015/12/17,203,216.349,3.44901
2015/12/16,201.5,131.463,3.47469
2015/12/15,200,89.298,3.50075
2015/12/14,198.5,110.14,3.5272
2015/12/11,201.5,367.52,3.47469
2015/12/10,201.5,347.059,3.47469
2015/12/09,205,144.685,3.41385
2015/12/08,204.5,214.814,3.4222
2015/12/07,209.5,167.851,3.34053
2015/12/04,207,164.479,3.38087
2015/12/03,208,186.416,3.36462
2015/12/02,208,129.145,3.36462
2015/12/01,211.5,215.24,3.30894
2015/11/30,209,518.256,3.34852
2015/11/27,210,73.2403,3.33257
2015/11/26,211.5,128.722,3.30894
2015/11/25,211,136.416,3.31678
2015/11/24,208,187.171,3.36462
2015/11/23,213,141.617,3.28563
2015/11/20,211,204.861,3.31678
2015/11/19,210,205.327,3.33257
2015/11/18,208.5,253.002,3.35655
2015/11/17,210,375.723,3.33257
2015/11/16,209.5,383.974,3.34053
2015/11/13,210,424.626,3.33257
2015/11/12,211.5,324.213,3.30894
2015/11/11,211.5,207.722,3.30894
2015/11/10,212,252.726,3.30113
2015/11/09,214,105.782,3.26659
2015/11/06,217,256.143,3.22143
2015/11/05,222,99.7466,3.14887
2015/11/04,219.5,272.187,3.18474
2015/11/03,215.5,221.857,3.24385
2015/11/02,215,211.307,3.2514
2015/10/30,216,199.242,3.23634
2015/10/29,216,163.743,3.23634
2015/10/28,219.5,134.212,3.18474
2015/10/27,221.5,130.489,3.15598
2015/10/26,221.5,181.781,3.15598
2015/10/23,224,221.633,3.12076
2015/10/22,218.5,178.159,3.19931
2015/10/21,223,247.557,3.13475
2015/10/20,218.5,123.348,3.19931
2015/10/19,218.5,180.361,3.19931
2015/10/16,216.5,98.2269,3.22887
2015/10/15,217.5,199.258,3.21402
2015/10/14,211.5,247.037,3.3052
2015/10/13,218,203.59,3.20665
2015/10/12,217,251.491,3.22143
2015/10/08,214.5,202.635,3.26504
2015/10/07,216.5,171.59,3.23487
2015/10/06,219,158.966,3.19795
2015/10/05,216,271.83,3.24236
2015/10/02,216.5,341.812,3.23487
2015/10/01,210.5,263.946,3.32708
2015/09/30,205,546.372,3.41634
2015/09/25,203.5,160.447,3.44152
2015/09/24,203,162.659,3.45
2015/09/23,206.5,225.642,3.39153
2015/09/22,210,228.858,3.335
2015/09/21,206.5,279.577,3.39153
2015/09/18,208,350.569,3.36707
2015/09/17,208,247.261,3.36707
2015/09/16,207,313.105,3.38333
2015/09/15,207,172.492,3.38333
2015/09/14,208,171.15,3.36707
2015/09/11,207,134.823,3.38333
2015/09/10,207,172.142,3.38333
2015/09/09,207.5,312.415,3.37337
2015/09/08,204,145.728,3.43125
2015/09/07,201.5,307.175,3.47382
2015/09/04,201.5,380.701,3.47382
2015/09/03,208.5,227.959,3.35719
2015/09/02,212,273.079,3.30177
2015/09/01,208,333.142,3.36526
2015/08/31,217.5,460.287,3.21828
2015/08/28,205.5,551.604,3.4062
2015/08/27,203,591.679,3.44815
2015/08/26,205,444.611,3.41451
2015/08/25,205.5,526.483,3.4062
2015/08/24,200,576.303,3.49987
2015/08/21,210.5,341.964,3.3253
2015/08/20,212.5,403.142,3.294
2015/08/19,213,206.671,3.28627
2015/08/18,218.5,127.931,3.20355
2015/08/17,222.5,128.605,3.14595
2015/08/14,221,149.838,3.16731
2015/08/13,220,213.415,3.1817
2015/08/12,223.5,181.23,3.13188
2015/08/11,224,284.482,3.12489
2015/08/10,230,170.912,3.04337
2015/08/07,226,174.945,3.10137
