date,close,volume,yield
2016/08/26,38.6,764.111,4.14456
2016/08/25,38.6,1217.3,4.14456
2016/08/24,38.05,793.141,4.20447
2016/08/23,37.9,1061.98,4.22111
2016/08/22,37.35,505.559,4.28327
2016/08/19,37.2,432.894,4.30054
2016/08/18,37.4,492.201,4.27754
2016/08/17,37.35,559.858,4.28327
2016/08/16,37.45,607.733,4.27183
2016/08/15,37.15,444.053,4.30633
2016/08/12,39,1077.86,4.10205
2016/08/11,38.95,573.146,4.10732
2016/08/10,39.15,410.008,4.08633
2016/08/09,39,437.35,4.10668
2016/08/08,39.1,427.463,4.09618
2016/08/05,39.5,509.907,4.0547
2016/08/04,39.6,1253.12,4.04446
2016/08/03,39.25,1314.82,4.08052
2016/08/02,39.5,2028.46,4.0547
2016/08/01,38.3,815.659,4.18174
2016/07/29,38,709.262,4.21475
2016/07/28,37.7,766.761,4.24829
2016/07/27,37.7,654.879,4.24829
2016/07/26,37.3,457.136,4.29385
2016/07/25,37.2,614.352,4.30539
2016/07/22,37.55,857.61,4.26526
2016/07/21,37.7,1391.56,4.24829
2016/07/20,36.95,620.018,4.33452
2016/07/19,36.95,856.609,4.33452
2016/07/18,36.5,511.677,4.38796
2016/07/15,36.15,373.777,4.43044
2016/07/14,36,395.56,4.4489
2016/07/13,35.8,916.23,4.47376
2016/07/12,36,548.494,4.4489
2016/07/11,35.8,779.115,4.47376
2016/07/07,35.2,518.199,4.5496
2016/07/06,34.6,982.06,4.6285
2016/07/05,36,335.117,4.4485
2016/07/04,36,313.978,4.4485
2016/07/01,36.45,849.428,4.39358
2016/06/30,36.65,1284.8,4.3696
2016/06/29,35.7,727.822,4.48588
2016/06/28,35.4,411.83,4.5239
2016/06/27,35.15,281.442,4.55607
2016/06/24,34.95,794.656,4.58215
2016/06/23,35.6,291.358,4.49848
2016/06/22,35.6,557.943,4.49848
2016/06/21,35.95,426.101,4.45469
2016/06/20,36.35,408.401,4.40567
2016/06/17,35.65,570.801,4.49217
2016/06/16,35.25,528.395,4.54315
2016/06/15,35.65,410.967,4.49217
2016/06/14,35.65,506.081,4.49217
2016/06/13,36.1,744.205,4.43618
2016/06/08,36.95,656.956,4.32867
2016/06/07,36.95,754.49,4.32867
2016/06/06,36.45,396.242,4.38805
2016/06/04,36.45,150.618,4.38805
2016/06/03,36.95,774.184,4.32867
2016/06/02,36.7,968.055,4.35816
2016/06/01,36.35,822.454,4.40012
2016/05/31,36.9,1645.14,4.33454
2016/05/30,36.9,4781.64,4.33454
2016/05/27,36.35,1357.47,4.40012
2016/05/26,999999,0,0.000159945
2016/05/25,33.05,1329.41,4.83947
2016/05/24,32.45,1946.83,4.92895
2016/05/23,31.25,1793.19,5.11822
2016/05/20,29,777.146,5.51533
2016/05/19,29,662.849,5.51533
2016/05/18,29.25,539.727,5.46819
2016/05/17,29.25,614.642,5.46819
2016/05/16,29.4,1188.78,5.44029
2016/05/13,28.65,1003.5,5.58271
2016/05/12,29.3,527.1,5.45886
2016/05/11,29.9,561.432,5.34931
2016/05/10,29.75,492.645,5.37629
2016/05/09,29.45,538.551,6.79059
2016/05/06,29.4,903.171,6.80214
2016/05/05,29.35,1638.9,6.81373
2016/05/04,30.35,1246.61,6.58923
2016/05/03,31.05,1326.75,6.44068
2016/04/29,30.35,1966.85,6.58923
2016/04/28,32.2,973.539,6.21065
2016/04/27,32.75,606.032,6.10635
2016/04/26,33.3,454.609,6.0055
2016/04/25,32.8,1154.92,6.09704
2016/04/22,33.9,1380.21,5.8992
2016/04/21,34.5,606.649,5.79661
2016/04/20,34.35,958.123,5.82192
2016/04/19,35.25,1138.6,5.67328
2016/04/18,34.3,783.441,5.83041
2016/04/15,34.55,662.52,5.78822
2016/04/14,34.95,651.565,5.72197
2016/04/13,35.05,488.678,5.70565
2016/04/12,34.6,405.378,5.77986
2016/04/11,35.4,367.268,5.64924
2016/04/08,34.7,520.39,5.76359
2016/04/07,34.7,675.562,5.76359
2016/04/06,35.3,679.492,5.66562
2016/04/01,36.35,550.645,5.50197
2016/03/31,37.45,755.352,5.34036
2016/03/30,36.8,975.437,5.43469
2016/03/29,36.85,315.397,5.42731
2016/03/28,36.8,198.462,5.43469
2016/03/25,36.7,214.197,5.4495
2016/03/24,36.7,673.028,5.4495
2016/03/23,36.95,771.299,5.41263
2016/03/22,36.5,581.74,5.47936
2016/03/21,36.95,511.132,5.41263
2016/03/18,36.9,707.361,5.41996
2016/03/17,36.5,532.311,5.47936
2016/03/16,35.85,817.988,5.5787
2016/03/15,36.2,704.055,5.52477
2016/03/14,37.15,456.925,5.38349
2016/03/11,37.5,654.2,5.33324
2016/03/10,37.1,646.605,5.39074
2016/03/09,37.4,597.695,5.34398
